DateUpdated,FishBaseMaxLength,FishbaseMaxLengthRef,FishbaseMaxLengthType,fk_LengthToMeasure,fk_LocaleID,LengthToMeasure,Locale,ModelSpecies,Notes,ParameterA,ParameterB,pk_LengthWeightID,Sources,SpeciesCode
2012-08-03,200,4391,TL,1,10,TL,Fishbase,AB.VAIG,,0.0099,3.267,1,FB,AB.VAIG
2012-08-03,240,9710,TL,3,1,SL,Hawaii,AC.ACHI,,0.081544127,2.87,2,HCFRU,AC.ACHI
2012-08-03,NA,NA,NA,3,1,SL,Hawaii,AC.ACHI,,0.081544127,2.87,3,HCFRU,AC.ACNI
2012-08-03,330,2334,TL,2,2,FL,New Caledonia,AC.MATA,,0.02224,3.00795,4,"FB, Kulbicki et al ms",AC.ALBI
2012-08-03,450,9710,SL,3,1,SL,Hawaii,AC.BLOC,,0.02,3,5,HCFRU,AC.BLOC
2012-08-03,540,3145,TL,2,,FL,,AC.DUSS,,0.0426,2.8683,6,FB,AC.DUSS
2012-08-03,260,9710,TL,3,1,SL,Hawaii,AC.GUTT,,0.052899635,3.08,7,HCFRU,AC.GUTT
2012-08-03,450,9710,TL,2,2,FL,New Caledonia,AC.NIGC,,0.01678,3.16772,8,"FB, Kulbicki et al ms",AC.LEUCOC
2012-08-03,380,3145,TL,2,3,FL,American Samoa,AC.LINE,,0.0251,3.03,9,Craig et al 1997,AC.LINE
2012-08-03,400,48637,TL,2,2,FL,New Caledonia,AC.XANT,,0.02673,2.98449,10,"FB, Kulbicki et al ms",AC.MACU
2012-08-03,400,3145,TL,2,2,FL,New Caledonia,AC.NIGC,,0.01678,3.16772,11,"FB, Kulbicki et al ms",AC.NIGC
2012-08-03,210,48637,TL,3,1,SL,Hawaii,AC.NIGF,,0.073244071,2.85,12,HCFRU,AC.NIGF
2012-08-03,250,2334,TL,3,1,SL,Hawaii,AC.NIGO,,0.073244071,2.85,13,HCFRU,AC.NIGO
2012-08-03,213,2334,TL,3,1,SL,Hawaii,AC.NIGR,,0.081544127,2.87,14,HCFRU,AC.NIGR
2012-08-03,350,2334,TL,3,1,SL,Hawaii,AC.OLIV,,0.040314123,3.05,15,HCFRU,AC.OLIV
2012-08-03,250,2334,TL,2,2,FL,New Caledonia,ACAN.SP,,0.02803,2.98288,16,"FB, Kulbicki et al ms",AC.PYRO
2012-08-03,270,3145,TL,3,1,SL,Hawaii,AC.THOM,,0.073244071,2.85,17,HCFRU,AC.THOM
2012-08-03,270,3145,TL,3,1,SL,Hawaii,AC.TRIO,,0.015557474,3.45,18,HCFRU,AC.TRIO
2012-08-03,700,4795,TL,3,1,SL,Hawaii,AC.XANT,,0.02768,3,19,HCFRU,AC.XANT
2012-08-03,NA,NA,NA,2,2,FL,New Caledonia,ACAN.SP,,0.02803,2.98288,20,Kulbicki et al ms,ACAN.SP
2012-08-03,3300,58048,WD,4,4,DW,South Africa,AE.NARI,,0.0059,3.13,21,Torres 1991,AE.NARI
2012-08-03,1100,9710,TL,1,5,TL,South Florida,AL.SCRI,,0.0022,3,22,Bohnsack and Harper 1988,AL.SCRI
2012-08-03,200,4421,TL,3,1,SL,Hawaii,CA.DUME,,0.016413702,3.26,23,HCFRU,AM.SCOP
2012-08-03,420,30573,TL,3,1,SL,Hawaii,AN.CUVI,,0.019391184,3.19,24,HCFRU,AN.CAER
2012-08-03,120,9710,TL,2,2,FL,New Caledonia,ANAM.SP,,0.02261,2.79271,25,Kulbicki et al ms,AN.MELA
2012-08-03,220,4392,TL,2,2,FL,New Caledonia,ANAM.SP,,0.02261,2.79271,26,Kulbicki et al ms,AN.MELE
