pk_Location,ContainerName,ContainerType,ContainerTypeName,Institution
1,1,Scintillation,Scintillation 1 Uvic,Uvic
2,2,Scintillation,Scintillation 2 Uvic,Uvic
3,3,Scintillation,Scintillation 3 Uvic,Uvic
4,4,Scintillation,Scintillation 4 Uvic,Uvic
5,5,Scintillation,Scintillation 5 Uvic,Uvic
6,6,Scintillation,Scintillation 6 Uvic,Uvic
7,7,Scintillation,Scintillation 7 Uvic,Uvic
8,8,Scintillation,Scintillation 8 Uvic,Uvic
9,9,Scintillation,Scintillation 9 Uvic,Uvic
10,18,Scintillation,Scintillation 18 Uvic,Uvic
11,25,MicroTubes,MicroTubes 25 SFU,SFU
12,12,Scintillation,Scintillation 12 Uvic,Uvic
13,13,Cryule,Cryule 13 Uvic,Uvic
14,22,MicroTubes,MicroTubes 22 SFU,SFU
15,19,MicroTubes,MicroTubes 19 SFU,SFU
16,17,Scintillation,Scintillation 17 Uvic,Uvic
17,20,MicroTubes,MicroTubes 20 SFU,SFU
18,21,MicroTubes,MicroTubes 21 SFU,SFU
19,16,Scintillation,Scintillation 16 Uvic,Uvic
20,14,Cryule,Cryule 14 Uvic,Uvic
21,15,Cryule,Cryule 15 Uvic,Uvic
22,23,MicroTubes,MicroTubes 23 Uvic,Uvic
23,24,MicroTubes,MicroTubes 24 Uvic,Uvic
24,26,MicroTubes,MicroTubes 26 Uvic,Uvic
