CapsuleWeight,DateEntered,DatePacked,EnteredBy,FilledCapsuleWeight,fk_SampleID,fk_TrayName,Notes,PackedBy,pk_PackedID,ref_sampleID,ref_TrayName,SampleWeight,TrayColumn,TrayRow
,2012-10-17,2011-02-15,AO,,538,5,NA,AS,1,ACAN.SP001_A,5,0.8,3,G
,2012-10-17,2011-11-17,AS/JD,,431,17,NA; original date packed: 02/15/2011 in Tray 5 F7,AS,2,ACANIG000_A,RT_KI_DAVIS_01,1.1,1,A
,2012-10-17,2011-11-17,AS/JD,,432,17,NA; original date packed: 02/15/2011 in Tray 5 F8,AS,3,ACANIG001_A,RT_KI_DAVIS_01,1,3,G
,2012-10-17,2011-11-17,AS/JD,,433,17,NA; original date packed: 02/15/2011 in Tray 5 F9,AS,4,ACANIG002_A,RT_KI_DAVIS_01,0.9,11,F
,2012-10-17,2011-11-17,AS/JD,,434,17,NA; original date packed: 02/15/2011 in Tray 5 F10,AS,5,ACANIG003_A,RT_KI_DAVIS_01,1,4,G
,2012-10-17,2011-11-17,AS/JD,,435,17,NA; original date packed: 02/15/2011 in Tray 5 F11,AS,6,ACANIG004_A,RT_KI_DAVIS_01,1.1,5,G
,2012-10-17,2011-02-24,AS,,698,35,submitted to Uvic as adrianburrillSFUtray4,AO,7,ACANIG005_A,adrianburrillSFUtray4,1.1,10,G
,2012-10-17,2011-03-11,AO,,699,14,Double blind,AS,8,ACANIG006_A,RTKI_001,1.1,8,F
,2012-10-17,2011-03-04,AO,,778,14,NA,AS,10,ACANIG006_NA,RTKI_001,0.9,4,B
,2012-10-17,2011-03-08,AS,,700,14,Taken from other trays; original date packed: 02/24/2011 in Tray 4 H5,AO,11,ACANIG007_A,RTKI_001,1,4,D
,2012-10-17,2011-03-04,AO,,779,14,NA,AS,12,ACANIG007_NA,RTKI_001,0.9,5,B
,2012-10-17,2011-03-08,AS,,701,14,Taken from other trays; original date packed: 02/24/2011 in Tray 4 H6,AO,13,ACANIG008_A,RTKI_001,1,5,D
,2012-10-17,2011-03-04,AO,,939,14,NA,AS,14,ACANIG008_NA,RTKI_001,0.8,6,B
,2012-10-17,2011-03-11,AO,,702,14,Double blind,AS,15,ACANIG009_A,RTKI_001,1.1,7,F
,2012-10-17,2011-03-07,AO,,780,14,NA,AS,17,ACANIG009_NA,RTKI_001,0.9,7,B
,2012-10-17,2011-02-24,AS,,703,4,,AO,18,ACANIG010_A,4,1.1,8,H
,2012-10-17,2011-03-08,AS,,704,14,Taken from other trays; original date packed: 02/24/2011 in Tray 4 H9,AO,19,ACANIG011_A,RTKI_001,1.1,7,D
,2012-10-17,2011-03-07,AO,,781,14,NA,AS,20,ACANIG011_NA,RTKI_001,0.9,8,B
,2012-10-17,NA,NA,,705,4,,NA,21,ACANIG012_A,4,0,10,H
,2012-10-17,NA,NA,,706,4,,NA,22,ACANIG013_A,4,0,11,H
,2012-10-17,2011-03-07,AO,,2637,14,NA,AS,23,ACANIG013_NA,RTKI_001,1.2,9,B
,2012-10-17,2011-03-08,AS,,707,14,Taken from other trays; original date packed: 02/24/2011 in Tray 4 H12,AO,24,ACANIG014_A,RTKI_001,0.9,8,D
,2012-10-17,2011-11-17,AO,,708,17,NA; original date packed: 04/25/2011 in Tray 11 A2,AO,26,ACANIG015_A,RT_KI_DAVIS_01,1.1,10,G
,2012-10-17,2012-04-15,,,940,12,,AO,27,ACANIG015_NA,RT_KI_04,1,1,A
,2012-10-17,2011-03-08,AO,,709,14,NA,AO,28,ACANIG016_A,RTKI_001,1,9,D
,2012-10-17,2011-03-07,AO,,783,14,NA,AS,29,ACANIG016_NA,RTKI_001,1.1,10,B
,2012-10-17,2011-04-25,AO,,710,11,NA,AO,30,ACANIG017_A,11,1.1,3,A
,2012-10-17,2011-04-25,AO,,711,11,NA,AO,31,ACANIG018_A,11,0.9,4,A
,2012-10-17,2011-03-08,AS,,712,14,Taken from other trays,AO,32,ACANIG019_A,RTKI_001,1.1,10,D
,2012-10-17,2011-03-07,AO,,784,14,NA,AS,33,ACANIG019_NA,RTKI_001,0.9,11,B
,2012-10-17,2011-04-11,AO,,847,9,NA,AO,34,ACANIG100_A,9,1,12,H
,2012-10-17,2012-07-26,AO,,848,24,Taken from other trays; original date packed: 04/12/2011 in Tray 10 A1,AO,35,ACANIG101_A,V6,1.1,3,E
,2012-10-17,2011-04-12,AO,,849,10,NA,AO,36,ACANIG102_A,10,1.1,2,A
,2012-10-17,2011-04-12,AO,,850,10,NA,AO,37,ACANIG103_A,10,1,3,A
,2012-10-17,2011-04-12,AO,,851,10,NA,AO,38,ACANIG104_A,10,1.1,4,A
,2012-10-17,2011-04-12,AO,,852,10,NA,AO,39,ACANIG105_A,10,1,5,A
,2012-10-17,2011-04-12,AO,,853,10,NA,AO,40,ACANIG106_A,10,1.1,6,A
,2012-10-17,2011-11-17,AO,,854,17,Taken from other trays; original date packed: 04/12/2011 in Tray 10 A7,AO,41,ACANIG107_A,RT_KI_DAVIS_01,1,9,B
,2012-10-17,2011-11-17,AO,,855,17,Taken from other trays; original date packed: 04/12/2011 in Tray 10 A8,AO,42,ACANIG108_A,RT_KI_DAVIS_01,1,10,B
,2012-10-17,2011-04-12,AO,,856,10,NA,AO,43,ACANIG109_A,10,1,9,A
,2012-10-17,2011-04-12,AO,,857,10,NA,AO,44,ACANIG110_A,10,1,10,A
,2012-10-17,2011-04-09,AS,,858,9,NA,AS,45,ACANIG111_A,9,1.1,8,B
,2012-10-17,2011-04-09,AS,,859,9,"Pastey sample - slightly moist, less fine than normal samples",AS,46,ACANIG112_A,9,0.9,9,B
,2012-10-17,2011-04-09,AS,,860,9,NA,AS,47,ACANIG113_A,9,1,10,B
,2012-10-17,2011-04-09,AS,,861,9,NA,AS,48,ACANIG114_A,9,1,11,B
,2012-10-17,2011-11-17,AS,,862,17,"Pastey sample - slightly moist, less fine than normal samples; original date packed: 04/09/2011 In Tray 9 B12",AS,49,ACANIG115_A,RT_KI_DAVIS_01,1,7,G
,2012-10-17,2011-04-09,AS,,863,9,Taken from other trays; original date packed: 04/06/2011 in Tray 9 C1,AS,50,ACANIG116_A,9,1.1,10,D
,2012-10-17,2011-04-09,AS,,864,9,NA,AS,51,ACANIG117_A,9,1,2,C
,2012-10-17,2011-04-09,AS,,865,9,NA,AS,52,ACANIG118_A,9,1.1,3,C
,2012-10-17,2011-04-09,AS,,866,9,NA,AS,53,ACANIG119_A,9,1,4,C
,2012-10-17,2011-04-09,AS,,867,9,NA,AS,54,ACANIG120_A,9,1,5,C
,2012-10-17,2011-04-09,AS,,868,9,NA,AS,55,ACANIG121_A,9,1.1,6,C
,2012-10-17,2011-04-09,AS,,869,9,NA,AS,56,ACANIG122_A,9,1.1,7,C
,2012-10-17,2011-04-09,AS,,870,9,NA,AS,57,ACANIG123_A,9,1,8,C
,2012-10-17,2011-04-09,AS,,871,9,NA,AS,58,ACANIG124_A,9,1,9,C
,2012-10-17,2011-04-09,AS,,872,9,"Pastey sample - slightly moist, less fine than normal samples",AS,59,ACANIG125_A,9,1,10,C
,2012-10-17,2011-04-09,AS,,873,9,NA,AS,60,ACANIG126_A,9,1,11,C
,2012-10-17,2011-11-17,AS,,874,17,NA; original date packed: 04/09/2011 in Tray 9 C12,AS,61,ACANIG127_A,RT_KI_DAVIS_01,1,6,A
,2012-10-17,2011-11-17,AS,,875,17,"Pastey sample - slightly moist, less fine than normal samples; original date packed: 04/09/2011 in Tray 9 D1",AS,62,ACANIG128_A,RT_KI_DAVIS_01,1.1,7,A
,2012-10-17,2012-04-15,,,941,12,,AO,63,ACANIG128_NA,RT_KI_04,1.1,2,A
,2012-10-17,2011-11-17,AS,,876,17,NA; original date packed 04/09/2011 in Tray 9 D2,AS,64,ACANIG129_A,RT_KI_DAVIS_01,1,8,A
,2012-10-17,2012-04-15,,,942,12,oil samply; powder in clumps,AO,65,ACANIG129_NA,RT_KI_04,1,3,A
,2012-10-17,2011-04-09,AS,,877,9,NA,AS,66,ACANIG130_A,9,1.1,3,D
,2012-10-17,2011-04-09,AS,,878,9,NA,AS,67,ACANIG131_A,9,1.1,4,D
,2012-10-17,2011-04-09,AS,,879,9,NA,AS,68,ACANIG132_A,9,1,5,D
,2012-10-17,2011-04-09,AS,,880,9,NA,AS,69,ACANIG133_A,9,1,6,D
,2012-10-17,2011-04-09,AS,,881,9,NA,AS,70,ACANIG134_A,9,1.1,7,D
,2012-10-17,2011-04-09,AS,,882,9,NA,AS,71,ACANIG135_A,9,1,8,D
,2012-10-17,2011-11-17,AS,,883,17,NA; original date packed: 04/09/2011 in Tray 9 D9,AS,72,ACANIG136_A,RT_KI_DAVIS_01,1,9,A
,2012-10-17,2012-04-15,,,943,12,,AO,73,ACANIG136_NA,RT_KI_04,1,4,A
,2012-10-17,2011-04-09,AS,,884,9,"Pastey sample - slightly moist, less fine than normal samples",AS,74,ACANIG137_A,9,1,10,D
,2012-10-17,2011-04-09,AS,,885,9,NA,AS,75,ACANIG138_A,9,1,11,D
,2012-10-17,2011-04-09,AS,,886,9,NA,AS,76,ACANIG139_A,9,1.1,12,D
,2012-10-17,2012-07-26,AS,,887,24,"Pastey sample - slightly moist, less fine than normal samples; original date packed: 04/10/2011 in Tray 9 E1",AS,77,ACANIG140_A,V6,1,11,D
,2012-10-17,2011-11-17,AS,,888,17,NA; original date packed: 04/10/2011 in Tray 9 E2,AS,78,ACANIG141_A,RT_KI_DAVIS_01,0.9,8,G
,2012-10-17,2011-11-17,AS,,889,17,NA; original date packed: 04/10/2011 in Tray 9 E3,AS,79,ACANIG142_A,RT_KI_DAVIS_01,1,10,A
,2012-10-17,2011-04-10,AS,,890,9,NA,AS,80,ACANIG143_A,9,0.9,4,E
,2012-10-17,2011-04-10,AS,,891,9,NA,AS,81,ACANIG144_A,9,0.9,5,E
,2012-10-17,2011-04-10,AS,,892,9,NA,AS,82,ACANIG145_A,9,1,6,E
,2012-10-17,2011-11-17,AS,,893,17,NA; original date packed: 04/10/2011 in Tray 9 E7,AS,83,ACANIG146_A,RT_KI_DAVIS_01,1,12,F
,2012-10-17,2012-04-15,,,944,12,,AO,84,ACANIG146_NA,RT_KI_04,0.9,5,A
,2012-10-17,2011-11-17,AS,,894,17,NA; original date packed: 04/10/2011 in Tray 9 E8,AS,85,ACANIG147_A,RT_KI_DAVIS_01,1.1,6,G
,2012-10-17,2011-11-17,AS,,895,17,NA; original date packed: 04/10/2011 in Tray 9 E9,AS,86,ACANIG148_A,RT_KI_DAVIS_01,0.9,1,G
,2012-10-17,2012-04-15,,,945,12,,AO,87,ACANIG148_NA,RT_KI_04,1.1,6,A
,2012-10-17,2011-11-17,AS,,896,17,NA; original date packed: 04/10/2011 in Tray 9 E10,AS,88,ACANIG149_A,RT_KI_DAVIS_01,0.9,2,G
,2012-10-17,2011-04-10,AS,,897,9,NA,AS,89,ACANIG150_A,9,0.9,11,E
,2012-10-17,2011-11-17,AS,,898,17,NA; original date packed: 04/10/2011 in Tray 9 E12,AS,90,ACANIG151_A,RT_KI_DAVIS_01,1,2,A
,2012-10-17,2011-11-17,AS,,899,17,NA; original date packed: 04/10/2011 in Tray 9 F1,AS,91,ACANIG152_A,RT_KI_DAVIS_01,1.1,3,A
,2012-10-17,2011-11-17,AS,,900,17,NA; original date packed: 04/10/2011 in Tray 9 F2,AS,92,ACANIG153_A,RT_KI_DAVIS_01,1.1,4,A
,2012-10-17,2011-11-17,AS,,901,17,NA; original date packed: 04/10/2011 in Tray 9 F3,AS,93,ACANIG154_A,RT_KI_DAVIS_01,1,5,A
,2012-10-17,2011-04-10,AS,,902,9,NA,AS,94,ACANIG155_A,9,1.1,4,F
