DateGround,DateWashedDried,DryingHours,DryingMethod,fk_SampleID,fk_TreatmentID,Notes,pk_PreprocessingID,PrepEnteredBy,PreppedBy,ref_SampleID,ref_treatment
,2010-09-28,48,Oven at 60ûC,1,2,NA,1,,RT AO,CEPARG121_A,A
,2010-09-28,48,Oven at 60ûC,2,2,NA,2,,RT AO,CEPARG122_A,A
,2010-09-28,48,Oven at 60ûC,3,2,NA,3,,RT AO,CEPARG123_A,A
,2010-09-28,48,Oven at 60ûC,4,2,NA,4,,RT AO,CEPARG124_A,A
,2010-09-28,48,Oven at 60ûC,5,2,NA,5,,RT AO,CEPARG125_A,A
,2010-09-28,48,Oven at 60ûC,6,2,NA,6,,RT AO,CEPARG126_A,A
,2010-09-28,48,Oven at 60ûC,7,2,NA,7,,RT AO,CEPARG127_A,A
,2010-09-28,48,Oven at 60ûC,8,2,NA,8,,RT AO,CEPARG128_A,A
,2010-09-28,48,Oven at 60ûC,9,2,NA,9,,RT AO,CEPARG129_A,A
,2010-09-28,48,Oven at 60ûC,10,2,NA,10,,RT AO,CEPARG130_A,A
,2010-09-28,48,Oven at 60ûC,11,2,NA,11,,RT AO,CEPARG131_A,A
,2010-09-28,48,Oven at 60ûC,12,2,NA,12,,RT AO,CEPARG132_A,A
,2010-09-28,48,Oven at 60ûC,13,2,NA,13,,RT AO,CEPARG133_A,A
,2010-09-28,48,Oven at 60ûC,14,2,NA,14,,RT AO,CEPARG134_A,A
,2010-09-28,48,Oven at 60ûC,15,2,NA,15,,RT AO,CEPARG135_A,A
,2010-09-28,48,Oven at 60ûC,16,2,NA,16,,RT AO,CEPARG136_A,A
,2010-09-28,48,Oven at 60ûC,17,2,NA,17,,RT AO,CEPARG137_A,A
,2010-09-28,48,Oven at 60ûC,18,2,NA,18,,RT AO,CEPARG138_A,A
,2010-09-28,48,Oven at 60ûC,19,2,NA,19,,RT AO,CEPARG139_A,A
,2010-09-28,48,Oven at 60ûC,20,2,NA,20,,RT AO,CEPARG140_A,A
,2010-09-28,48,Oven at 60ûC,21,2,NA,21,,RT AO,CEPARG141_A,A
,2010-09-28,48,Oven at 60ûC,22,2,NA,22,,RT AO,CEPARG142_A,A
,2010-09-28,48,Oven at 60ûC,23,2,NA,23,,RT AO,CEPARG143_A,A
,2010-09-28,48,Oven at 60ûC,24,2,NA,24,,RT AO,CEPARG144_A,A
,2010-09-28,48,Oven at 60ûC,25,2,NA,25,,RT AO,CEPARG145_A,A
,2010-09-28,48,Oven at 60ûC,26,2,NA,26,,RT AO,CEPARG146_A,A
,2010-09-28,48,Oven at 60ûC,27,2,NA,27,,RT AO,CEPARG147_A,A
,2010-09-28,48,Oven at 60ûC,28,2,NA,28,,RT AO,CEPARG148_A,A
,2010-09-28,48,Oven at 60ûC,29,2,NA,29,,RT AO,CEPARG149_A,A
,2010-09-28,48,Oven at 60ûC,30,2,NA,30,,RT AO,CEPARG150_A,A
,2010-09-28,48,Oven at 60ûC,31,2,NA,31,,RT AO,CEPARG151_A,A
,2010-09-28,48,Oven at 60ûC,32,2,NA,32,,RT AO,CEPARG152_A,A
,2010-09-28,48,Oven at 60ûC,33,2,NA,33,,RT AO,CEPARG153_A,A
,2010-09-28,48,Oven at 60ûC,34,2,NA,34,,RT AO,CEPARG154_A,A
,2010-09-28,48,Oven at 60ûC,35,2,NA,35,,RT AO,CEPARG155_A,A
,2010-09-28,48,Oven at 60ûC,36,2,NA,36,,RT AO,CEPARG156_A,A
,2010-09-28,48,Oven at 60ûC,37,2,NA,37,,RT AO,CEPARG157_A,A
,2010-09-28,48,Oven at 60ûC,38,2,NA,38,,RT AO,CEPARG158_A,A
,2010-09-28,48,Oven at 60ûC,39,2,NA,39,,RT AO,CEPARG159_A,A
,2010-09-28,48,Oven at 60ûC,40,2,NA,40,,RT AO,CEPARG160_A,A
,2010-09-28,48,Oven at 60ûC,41,2,NA,41,,RT AO,CEPARG161_A,A
,2010-09-28,48,Oven at 60ûC,42,2,NA,42,,RT AO,CEPARG162_A,A
,2010-09-28,48,Oven at 60ûC,43,2,NA,43,,RT AO,CEPARG163_A,A
,2010-09-28,48,Oven at 60ûC,44,2,CW argus,44,,RT AO,CEPARG001_A,A
,2010-09-28,48,Oven at 60ûC,45,2,CW argus,45,,RT AO,CEPARG002_A,A
,2010-09-28,48,Oven at 60ûC,46,2,CW argus,46,,RT AO,CEPARG003_A,A
,2010-09-28,48,Oven at 60ûC,47,2,CW argus,47,,RT AO,CEPARG004_A,A
,2010-09-28,48,Oven at 60ûC,48,2,CW argus,48,,RT AO,CEPARG005_A,A
,2010-09-28,48,Oven at 60ûC,49,2,NA,49,,RT AO,CEPARG006_A,A
,2010-09-28,48,Oven at 60ûC,50,2,NA,50,,RT AO,CEPARG007_A,A
,2010-09-28,48,Oven at 60ûC,51,2,NA,51,,RT AO,CEPARG008_A,A
,2010-09-28,48,Oven at 60ûC,52,2,NA,52,,RT AO,CEPARG009_A,A
,2010-09-28,48,Oven at 60ûC,53,2,NA,53,,RT AO,CEPARG010_A,A
,2010-09-28,48,Oven at 60ûC,54,2,NA,54,,RT AO,CEPARG011_A,A
,2010-09-28,48,Oven at 60ûC,55,2,NA,55,,RT AO,CEPARG012_A,A
,2010-09-28,48,Oven at 60ûC,56,2,NA,56,,RT AO,CEPARG013_A,A
,2010-09-28,48,Oven at 60ûC,57,2,NA,57,,RT AO,CEPARG014_A,A
,2010-09-28,48,Oven at 60ûC,58,2,NA,58,,RT AO,CEPARG015_A,A
,2010-09-28,48,Oven at 60ûC,59,2,NA,59,,RT AO,CEPARG016_A,A
,2010-09-28,48,Oven at 60ûC,60,2,NA,60,,RT AO,CEPARG017_A,A
,2010-09-28,48,Oven at 60ûC,61,2,NA,61,,RT AO,CEPARG018_A,A
,2010-09-28,48,Oven at 60ûC,62,2,NA,62,,RT AO,CEPARG019_A,A
,2010-09-28,48,Oven at 60ûC,63,2,NA,63,,RT AO,CEPARG020_A,A
,2010-09-28,48,Oven at 60ûC,64,2,NA,64,,RT AO,CEPARG021_A,A
,2010-09-28,48,Oven at 60ûC,65,2,NA,65,,RT AO,CEPARG022_A,A
,2010-09-28,48,Oven at 60ûC,66,2,NA,66,,RT AO,CEPARG023_A,A
,2010-09-28,48,Oven at 60ûC,67,2,NA,67,,RT AO,CEPARG024_A,A
,2010-09-28,48,Oven at 60ûC,68,2,NA,68,,RT AO,CEPARG025_A,A
,2010-09-28,48,Oven at 60ûC,69,2,NA,69,,RT AO,CEPARG026_A,A
,2010-09-28,48,Oven at 60ûC,70,2,NA,70,,RT AO,CEPARG027_A,A
,2010-09-28,48,Oven at 60ûC,71,2,NA,71,,RT AO,CEPARG028_A,A
,2010-09-28,48,Oven at 60ûC,72,2,NA,72,,RT AO,CEPARG029_A,A
,2010-09-28,48,Oven at 60ûC,73,2,NA,73,,RT AO,CEPARG030_A,A
,2010-09-28,48,Oven at 60ûC,74,2,NA,74,,RT AO,CEPARG031_A,A
,2010-09-28,48,Oven at 60ûC,75,2,NA,75,,RT AO,CEPARG032_A,A
,2010-09-28,48,Oven at 60ûC,76,2,NA,76,,RT AO,CEPARG033_A,A
,2010-09-28,48,Oven at 60ûC,77,2,NA,77,,RT AO,CEPARG034_A,A
,2010-09-28,48,Oven at 60ûC,78,2,NA,78,,RT AO,CEPARG035_A,A
,2010-09-28,48,Oven at 60ûC,79,2,NA,79,,RT AO,CEPARG103_A,A
,2010-09-28,48,Oven at 60ûC,80,2,NA,80,,RT AO,CEPARG104_A,A
,2010-09-28,48,Oven at 60ûC,81,2,NA,81,,RT AO,CEPARG105_A,A
