d13C,d15N,DateProcessed,fk_PackedID,fk_SampleID,fk_TrayID,Lab,pk_ResultID,ref_sampleID,ref_Tray,Weight_mg
-17,13.06,,504,,,UC Davis,1,KIF11_374_1,RT_KI_02,0.8
-16.59,13,,503,,,UC Davis,2,KIF11_373_1,RT_KI_02,1.1
-16.21,13.42,,502,,,UC Davis,3,KIF11_372_1,RT_KI_02,0.8
-16.41,13.26,,501,,,UC Davis,4,KIF11_371_1,RT_KI_02,1.2
-18.88,9.4,,500,,,UC Davis,5,KIF11_370_1,RT_KI_02,1
-18.96,9.2,,499,,,UC Davis,6,KIF11_368_1,RT_KI_02,1
-13.26,16.57,,1023,,,UC Davis,7,PLEDIC142_NA,RT_KI_02,1
-15.07,15.02,,1024,,,UC Davis,8,PLEDIC144_NA,RT_KI_02,1
-15.28,14.79,,1025,,,UC Davis,9,PLEDIC146_NA,RT_KI_02,1.2
-14.04,16.04,,1026,,,UC Davis,10,PLEDIC147_NA,RT_KI_02,1
-14.69,14.07,,1027,,,UC Davis,11,PLEDIC148_NA,RT_KI_02,0.8
-16.11,13.81,,1020,,,UC Davis,12,PLEDIC092_NA,RT_KI_02,0.9
-17.2,12.89,,474,,,UC Davis,13,KIF11_289_1,RT_KI_02,1.2
-17.54,12.57,,470,,,UC Davis,14,KIF11_242_1,RT_KI_02,1.2
-17.04,11.75,,480,,,UC Davis,15,KIF11_298_1,RT_KI_02,1.2
-16.27,13,,522,,,UC Davis,16,KIF11_474_1,RT_KI_02,0.9
-16.57,13.43,,523,,,UC Davis,17,KIF11_475_1,RT_KI_02,1
-17.88,12.56,,420,,,UC Davis,18,KIF11_009_1,RT_KI_02,1.1
-17.01,12.54,,421,,,UC Davis,19,KIF11_010_1,RT_KI_02,0.8
-17.3,12.66,,422,,,UC Davis,20,KIF11_011_1,RT_KI_02,0.8
-18.27,11.6,,423,,,UC Davis,21,KIF11_012_1,RT_KI_02,1
-17.63,11.72,,424,,,UC Davis,22,KIF11_013_1,RT_KI_02,0.9
-16.63,12.85,,443,,,UC Davis,23,KIF11_113_1,RT_KI_02,1.6
-16.41,12.72,,444,,,UC Davis,24,KIF11_114_1,RT_KI_02,0.8
-17.02,12.04,,445,,,UC Davis,25,KIF11_116_1,RT_KI_02,0.8
-17.07,12.76,,456,,,UC Davis,26,KIF11_161_1,RT_KI_02,1.1
-14.5,15.47,,447,,,UC Davis,27,KIF11_118_1,RT_KI_02,1
-15.42,14.69,,448,,,UC Davis,28,KIF11_119_1,RT_KI_02,0.8
-15.54,13.83,,451,,,UC Davis,29,KIF11_128_1,RT_KI_02,1.1
-14.63,15.03,,457,,,UC Davis,30,KIF11_162_1,RT_KI_02,0.8
-15.72,13.65,,458,,,UC Davis,31,KIF11_163_1,RT_KI_02,0.9
-17.03,9.6,,517,,,UC Davis,32,KIF11_469_1,RT_KI_02,0.8
-16.94,9.78,,518,,,UC Davis,33,KIF11_470_1,RT_KI_02,1.1
-17.17,9.99,,519,,,UC Davis,34,KIF11_471_1,RT_KI_02,0.9
-16.97,9.7,,520,,,UC Davis,35,KIF11_472_1,RT_KI_02,1.2
-16.83,9.98,,521,,,UC Davis,36,KIF11_473_1,RT_KI_02,1
-13.68,13.44,,475,,,UC Davis,37,KIF11_290_1,RT_KI_02,1.1
-12.7,13.69,,476,,,UC Davis,38,KIF11_291_1,RT_KI_02,1.1
-12.76,13.44,,526,,,UC Davis,39,KIF11_479_1,RT_KI_02,1
-14.55,13,,527,,,UC Davis,40,KIF11_480_1,RT_KI_02,1.1
-13.44,14.08,,428,,,UC Davis,41,KIF11_063_1,RT_KI_02,1.1
-14.48,12.99,,432,,,UC Davis,42,KIF11_071_1,RT_KI_02,1
-14.12,14.19,,1014,,,UC Davis,43,PLEDIC005_NA,RT_KI_02,1
-16.57,13.92,,1015,,,UC Davis,44,PLEDIC006_NA,RT_KI_02,0.9
