pk_SpeciesHabitatID,fk_FishingHabitatID,fk_SpeciesID
1,1,346
2,2,347
1,1,348
1,1,19
1,1,349
3,3,350
3,3,351
3,3,352
3,3,353
1,1,354
4,4,355
4,4,356
1,1,31
4,4,31
3,3,357
1,1,357
1,1,359
1,1,360
1,1,361
1,1,362
1,1,363
3,3,364
4,4,365
1,1,366
1,1,366
3,3,368
3,3,369
3,3,53
4,4,55
3,3,370
3,3,371
3,3,372
3,3,373
1,1,374
1,1,375
1,1,66
1,1,376
1,1,377
3,3,77
3,3,378
3,3,379
3,3,380
2,2,381
1,1,382
1,1,383
2,2,384
3,3,385
3,3,386
1,1,387
2,2,388
4,4,389
1,1,390
1,1,391
1,1,392
4,4,393
4,4,394
4,4,395
4,4,396
2,2,397
2,2,143
1,1,398
3,3,399
3,3,400
3,3,400
3,3,402
3,3,151
1,1,403
4,4,404
1,1,405
3,3,406
4,4,407
2,2,408
1,1,409
3,3,410
1,1,411
1,1,412
1,1,413
3,3,414
2,2,415
2,2,416
1,1,417
1,1,183
1,1,418
1,1,419
1,1,419
1,1,421
1,1,187
1,1,422
1,1,423
3,3,424
3,3,425
1,1,426
1,1,427
1,1,195
1,1,196
1,1,428
1,1,197
1,1,429
1,1,430
1,1,431
1,1,432
1,1,206
3,3,433
1,1,434
3,3,435
1,1,214
1,1,220
1,1,436
1,1,437
1,1,234
1,1,438
1,1,439
1,1,440
1,1,441
1,1,442
3,3,443
1,1,444
4,4,445
4,4,446
4,4,447
4,4,448
4,4,449
4,4,450
1,1,451
3,3,452
3,3,453
3,3,454
4,4,455
1,1,456
5,5,457
3,3,310
1,1,458
3,3,459
3,3,460
1,1,461
1,1,325
2,2,328
2,2,328
1,1,464
3,3,336
3,3,465
3,3,466
3,3,467
2,2,468
4,4,350
1,1,357
1,1,373
1,1,380
1,1,399
1,1,402
1,1,310
1,1,336
2,2,357
2,2,373
2,2,380
2,2,399
2,2,402
2,2,310
2,2,336
