fk_FishingMethodID,fk_SpeciesID,pk_SpeciesMethodID
1,346,3461
2,347,3472
3,348,3483
4,19,194
4,349,3494
5,351,3515
6,352,3526
7,353,3537
8,355,3558
8,356,3568
9,31,319
8,31,318
3,357,3573
4,359,3594
4,360,3604
3,361,3613
4,362,3624
3,363,3633
3,364,3643
10,365,36510
4,366,3664
4,368,3684
11,369,36911
12,53,5312
8,55,558
2,370,3702
4,371,3714
9,372,3729
9,374,3749
9,375,3759
9,66,669
1,376,3761
9,377,3779
4,77,774
4,378,3784
13,379,37913
2,381,3812
14,382,38214
4,383,3834
15,384,38415
4,385,3854
7,386,3867
9,387,3879
2,388,3882
8,389,3898
9,391,3919
5,392,3925
8,393,3938
8,394,3948
8,395,3958
8,396,3968
7,143,1437
16,398,39816
17,400,40017
4,400,4004
2,151,1512
4,403,4034
8,404,4048
18,405,40518
9,406,4069
8,407,4078
19,408,40819
7,410,4107
9,411,4119
9,412,4129
9,413,4139
4,414,4144
2,415,4152
20,416,41620
4,417,4174
4,418,4184
4,419,4194
9,419,4199
4,421,4214
4,187,1874
9,422,4229
9,423,4239
4,424,4244
4,425,4254
9,426,4269
9,427,4279
21,195,19521
4,196,1964
9,428,4289
9,197,1979
9,429,4299
4,430,4304
4,431,4314
4,432,4324
4,206,2064
17,433,43317
3,434,4343
22,435,43522
9,214,2149
1,220,2201
23,436,43623
3,234,2343
3,438,4383
3,441,4413
7,443,4437
8,444,4448
8,445,4458
8,446,4468
8,447,4478
8,448,4488
8,449,4498
8,450,4508
8,451,4518
17,452,45217
9,453,4539
4,454,4544
8,455,4558
4,456,4564
24,457,45724
9,458,4589
17,459,45917
4,460,4604
1,461,4611
18,325,32518
2,328,3282
9,464,4649
2,465,4652
4,466,4664
4,467,4674
2,468,4682
4,348,3484
1,19,191
1,349,3491
25,350,35025
9,352,3529
16,31,3116
21,357,35721
21,361,36121
9,362,3629
21,363,36321
1,366,3661
9,368,3689
9,370,3709
21,371,37121
1,66,661
9,376,3769
1,377,3771
1,383,3831
26,384,38426
21,385,38521
1,391,3911
9,151,1519
3,403,4033
3,414,4143
27,416,41627
9,421,4219
9,187,1879
4,422,4224
4,195,1954
9,196,1969
9,430,4309
9,431,4319
9,432,4329
9,206,2069
5,433,4335
28,214,21428
4,220,2204
4,234,2344
9,438,4389
29,452,45229
21,453,45321
21,454,45421
3,456,4563
9,460,4609
9,466,4669
9,468,4689
23,362,36223
21,370,37021
4,380,3804
9,384,3849
4,402,4024
21,151,15121
4,453,4534
4,336,3364
4,370,3704
23,380,38023
9,402,4029
4,151,1514
28,453,45328
9,336,3369
