Container,fk_SpecimenID,Institution,pk_SpareSampleLocation,ref_SpecimenID
bag 4,189,Uvic,1,CEPARG001
bag 4,190,Uvic,2,CEPARG002
bag 4,191,Uvic,3,CEPARG003
bag 4,192,Uvic,4,CEPARG004
bag 4,193,Uvic,5,CEPARG005
no spares,194,Uvic,6,CEPARG006
no spares,195,Uvic,7,CEPARG007
no spares,196,Uvic,8,CEPARG008
no spares,197,Uvic,9,CEPARG009
no spares,198,Uvic,10,CEPARG010
no spares,199,Uvic,11,CEPARG011
no spares,200,Uvic,12,CEPARG012
no spares,201,Uvic,13,CEPARG013
no spares,202,Uvic,14,CEPARG014
no spares,203,Uvic,15,CEPARG015
no spares,204,Uvic,16,CEPARG016
no spares,205,Uvic,17,CEPARG017
no spares,206,Uvic,18,CEPARG018
no spares,207,Uvic,19,CEPARG019
no spares,208,Uvic,20,CEPARG020
no spares,209,Uvic,21,CEPARG021
no spares,210,Uvic,22,CEPARG022
no spares,211,Uvic,23,CEPARG023
no spares,212,Uvic,24,CEPARG024
no spares,213,Uvic,25,CEPARG025
no spares,214,Uvic,26,CEPARG026
no spares,215,Uvic,27,CEPARG027
no spares,216,Uvic,28,CEPARG028
box 1,217,Uvic,29,CEPARG029
box 1,218,Uvic,30,CEPARG030
box 1,219,Uvic,31,CEPARG031
box 1,220,Uvic,32,CEPARG032
box 1,221,Uvic,33,CEPARG033
box 1,222,Uvic,34,CEPARG034
box 1,223,Uvic,35,CEPARG035
box 1,224,Uvic,36,CEPARG036
box 1,225,Uvic,37,CEPARG037
box 1,226,Uvic,38,CEPARG038
box 1,227,Uvic,39,CEPARG039
box 1,228,Uvic,40,CEPARG040
box 1,229,Uvic,41,CEPARG041
box 1,230,Uvic,42,CEPARG042
box 1,231,Uvic,43,CEPARG043
box 1,232,Uvic,44,CEPARG044
box 1,233,Uvic,45,CEPARG045
box 1,234,Uvic,46,CEPARG046
box 1,235,Uvic,47,CEPARG047
box 1,236,Uvic,48,CEPARG048
box 1,237,Uvic,49,CEPARG049
box 1,238,Uvic,50,CEPARG050
box 1,239,Uvic,51,CEPARG051
box 1,240,Uvic,52,CEPARG052
box 1,241,Uvic,53,CEPARG053
box 1,242,Uvic,54,CEPARG054
box 1,243,Uvic,55,CEPARG055
box 1,244,Uvic,56,CEPARG056
box 1,245,Uvic,57,CEPARG057
box 1,246,Uvic,58,CEPARG058
box 1,247,Uvic,59,CEPARG059
box 1,248,Uvic,60,CEPARG060
box 1,249,Uvic,61,CEPARG061
box 1,250,Uvic,62,CEPARG062
box 1,251,Uvic,63,CEPARG063
box 1,252,Uvic,64,CEPARG064
box 1,253,Uvic,65,CEPARG065
box 1,254,Uvic,66,CEPARG066
box 1,255,Uvic,67,CEPARG067
box 1,256,Uvic,68,CEPARG068
box 1,257,Uvic,69,CEPARG069
box 1,258,Uvic,70,CEPARG070
box 1,259,Uvic,71,CEPARG071
box 1,260,Uvic,72,CEPARG072
box 1,261,Uvic,73,CEPARG073
box 1,262,Uvic,74,CEPARG074
box 1,263,Uvic,75,CEPARG075
box 1,264,Uvic,76,CEPARG076
box 1,265,Uvic,77,CEPARG077
box 1,266,Uvic,78,CEPARG078
box 2,267,Uvic,79,CEPARG079
box 2,268,Uvic,80,CEPARG080
box 2,269,Uvic,81,CEPARG081
box 2,270,Uvic,82,CEPARG082
box 2,271,Uvic,83,CEPARG083
box 2,272,Uvic,84,CEPARG084
box 2,273,Uvic,85,CEPARG085
box 2,274,Uvic,86,CEPARG086
box 2,275,Uvic,87,CEPARG087
box 2,276,Uvic,88,CEPARG088
box 2,277,Uvic,89,CEPARG089
box 2,278,Uvic,90,CEPARG090
box 2,279,Uvic,91,CEPARG091
box 2,280,Uvic,92,CEPARG092
box 2,281,Uvic,93,CEPARG093
box 2,282,Uvic,94,CEPARG094
box 2,283,Uvic,95,CEPARG095
box 2,284,Uvic,96,CEPARG096
box 6,378,Uvic,97,LUTFUL001
box 6,379,Uvic,98,LUTFUL002
box 6,380,Uvic,99,LUTFUL003
box 6,381,Uvic,100,LUTFUL004
box 6,382,Uvic,101,LUTFUL005
box 6,383,Uvic,102,LUTFUL006
box 6,384,Uvic,103,LUTFUL007A
box 6,385,Uvic,104,LUTFUL007B
box 6,386,Uvic,105,LUTFUL008
box 6,387,Uvic,106,LUTFUL009
box 6,388,Uvic,107,LUTFUL010
box 6,389,Uvic,108,LUTFUL011
box 6,390,Uvic,109,LUTFUL012
box 6,391,Uvic,110,LUTFUL013
box 6,392,Uvic,111,LUTFUL014
box 6,393,Uvic,112,LUTFUL015
box 6,394,Uvic,113,LUTFUL016
