CollectedBy,Collection Notes,CollectionMethod,DateCollected,DateEntered,DepthCollected,fk_CollectionMethodID,fk_SiteID,fk_SpeciesID,OldID1,pk_SpecimenID,Sex,SpeciesCode,SpecimenID
Science,,NA,2010-05-06,2012-08-02,NA,10,27,14,ACANIG000,1,NA,,ACANIG000
Science team,,Spear,2010-05-08,2012-08-02,31,1,9,14,ACANIG001,2,F,,ACANIG001
Science team,,Spear,2010-05-08,2012-08-02,31,1,14,14,ACANIG002,3,M?,,ACANIG002
Science team,,Spear,2010-05-07,2012-08-02,30,1,9,14,ACANIG003,4,F,,ACANIG003
Science team,,Spear,2010-05-07,2012-08-02,30,1,9,14,ACANIG004,5,F,,ACANIG004
local,,Net,2010-05-31,2012-08-02,30,2,23,14,ACANIG005,6,F,,ACANIG005
Local,,Spear,2010-06-04,2012-08-02,45,1,13,14,ACANIG006,7,F,,ACANIG006
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG007,8,F,,ACANIG007
NA,,Spear,2010-05-18,2012-08-02,36,1,3,14,ACANIG008,9,F,,ACANIG008
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG009,10,F,,ACANIG009
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG010,11,F,,ACANIG010
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG011,12,?,,ACANIG011
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG012,13,F,,ACANIG012
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG013,14,F,,ACANIG013
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG014,15,F,,ACANIG014
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG015,16,F,,ACANIG015
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG016,17,?,,ACANIG016
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG017,18,F,,ACANIG017
NA,,Spear,2010-05-18,2012-08-02,36,1,3,14,ACANIG018,19,?,,ACANIG018
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG019,20,?,,ACANIG019
NA,,Spear,2010-06-04,2012-08-02,33,1,25,14,ACANIG019,21,?,,ACANIG019
Local,,Spear,2010-06-04,2012-08-02,45,1,13,14,ACANIG020,22,?,,ACANIG020
Local,,Spear,2010-06-04,2012-08-02,45,1,13,14,ACANIG021,23,M,,ACANIG021
Local,,Spear,2010-06-04,2012-08-02,45,1,13,14,ACANIG022,24,M,,ACANIG022
Local,,Spear,2010-06-04,2012-08-02,45,1,13,14,ACANIG023,25,F,,ACANIG023
Local,,Spear,2010-05-31,2012-08-02,30,1,23,14,ACANIG024,26,F,,ACANIG024
Local,,Spear,2010-06-04,2012-08-02,45,1,13,14,ACANIG025,27,M,,ACANIG025
Local,,Spear,2010-06-04,2012-08-02,45,1,13,14,ACANIG026,28,F,,ACANIG026
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG027,29,F,,ACANIG027
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG028,30,F,,ACANIG028
NA,,Spear,2010-05-18,2012-08-02,36,1,3,14,ACANIG029,31,F,,ACANIG029
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG030,32,F,,ACANIG030
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG031,33,?,,ACANIG031
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG032,34,F,,ACANIG032
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG033,35,F,,ACANIG033
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG034,36,F,,ACANIG034
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG035,37,F,,ACANIG035
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG036,38,F,,ACANIG036
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG037,39,F,,ACANIG037
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG038,40,?,,ACANIG038
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG039,41,F,,ACANIG039
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG040,42,F,,ACANIG040
NA,,Spear,2010-05-18,2012-08-02,33,1,25,14,ACANIG041,43,F,,ACANIG041
NA,,Spear,2010-05-18,2012-08-02,36,1,3,14,ACANIG042,44,M,,ACANIG042
NA,,Spear,2010-05-18,2012-08-02,33,1,35,14,ACANIG043,45,F,,ACANIG043
NA,,Spear,2010-05-18,2012-08-02,33,1,35,14,ACANIG044,46,F,,ACANIG044
NA,,Spear,2010-05-08,2012-08-02,33,1,35,14,ACANIG045,47,F,,ACANIG045
NA,,Spear,2010-05-12,2012-08-02,36,1,25,14,ACANIG046,48,?,,ACANIG046
NA,,Spear,2010-05-12,2012-08-02,36,1,25,14,ACANIG047,49,M,,ACANIG047
NA,,Spear,2010-05-12,2012-08-02,35,1,25,14,ACANIG048,50,F,,ACANIG048
NA,,Spear,2010-05-12,2012-08-02,35,1,25,14,ACANIG049,51,M,,ACANIG049
NA,,Spear,2010-05-14,2012-08-02,35,1,30,14,ACANIG050,52,F,,ACANIG050
NA,,Spear,2010-05-19,2012-08-02,23,1,15,14,ACANIG051,53,F,,ACANIG051
NA,,Spear,2010-05-19,2012-08-02,23,1,15,14,ACANIG052,54,F,,ACANIG052
NA,,Spear,2010-05-19,2012-08-02,23,1,15,14,ACANIG053,55,F,,ACANIG053
NA,,Spear,2010-05-19,2012-08-02,23,1,15,14,ACANIG054,56,F,,ACANIG054
NA,,Spear,2010-05-19,2012-08-02,23,1,15,14,ACANIG055,57,M,,ACANIG055
NA,,Spear,2010-05-19,2012-08-02,23,1,15,14,ACANIG056,58,F,,ACANIG056
NA,,Spear,2010-05-19,2012-08-02,23,1,15,14,ACANIG057,59,F,,ACANIG057
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG058,60,F,,ACANIG058
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG059,61,M,,ACANIG059
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG060,62,M,,ACANIG060
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG061,63,F,,ACANIG061
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG062,64,M,,ACANIG062
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG063,65,F,,ACANIG063
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG064,66,F,,ACANIG064
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG065,67,M,,ACANIG065
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG066,68,?,,ACANIG066
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG067,69,F,,ACANIG067
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG068,70,F,,ACANIG068
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG069,71,M,,ACANIG069
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG070,72,F,,ACANIG070
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG071,73,F,,ACANIG071
NA,,Spear,2010-05-08,2012-08-02,39,1,30,14,ACANIG072,74,F,,ACANIG072
NA,,Spear,2010-05-09,2012-08-02,39,1,30,14,ACANIG073,75,NA,,ACANIG073
NA,,Spear,2010-05-08,2012-08-02,39,1,30,14,ACANIG074,76,F,,ACANIG074
NA,,Spear,2010-05-08,2012-08-02,39,1,30,14,ACANIG075,77,F,,ACANIG075
NA,,Spear,2010-05-08,2012-08-02,39,1,30,14,ACANIG076,78,F,,ACANIG076
NA,,Spear,2010-05-08,2012-08-02,39,1,30,14,ACANIG077,79,M,,ACANIG077
NA,,Spear,2010-05-16,2012-08-02,30,1,30,14,ACANIG078,80,F,,ACANIG078
NA,,Spear,2010-05-16,2012-08-02,30,1,15,14,ACANIG079,81,F,,ACANIG079
NA,,Spear,2010-05-14,2012-08-02,35,1,30,14,ACANIG080,82,F,,ACANIG080
NA,,Spear,2010-05-16,2012-08-02,30,1,15,14,ACANIG081,83,?,,ACANIG081
NA,,Spear,2010-05-16,2012-08-02,30,1,15,14,ACANIG082,84,M,,ACANIG082
NA,,Spear,2010-05-14,2012-08-02,35,1,30,14,ACANIG083,85,F,,ACANIG083
NA,,Spear,2010-05-14,2012-08-02,35,1,30,14,ACANIG084,86,M,,ACANIG084
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG085,87,F,,ACANIG085
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG086,88,M,,ACANIG086
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG087,89,M,,ACANIG087
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG088,90,F,,ACANIG088
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG089,91,M,,ACANIG089
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG090,92,F,,ACANIG090
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG091,93,F,,ACANIG091
NA,,Spear,2010-05-06,2012-08-02,33,1,34,14,ACANIG092,94,NA,,ACANIG092
NA,,Spear,2010-05-14,2012-08-02,39,1,30,14,ACANIG093,95,F,,ACANIG093
NA,,Spear,2010-05-14,2012-08-02,35,1,30,14,ACANIG094,96,M,,ACANIG094
NA,,Spear,2010-05-14,2012-08-02,35,1,30,14,ACANIG095,97,F,,ACANIG095
NA,,Spear,2010-05-14,2012-08-02,35,1,30,14,ACANIG096,98,F,,ACANIG096
Local,,Spear,2010-05-31,2012-08-02,30,1,23,14,ACANIG097,99,F,,ACANIG097
Local,,Spear,2010-06-04,2012-08-02,45,1,13,14,ACANIG098,100,M,,ACANIG098
Local,,Spear,2010-05-31,2012-08-02,30,1,23,14,ACANIG099,101,F,,ACANIG099
