EnglishName,Family,fk_GuildID,fk_LengthWeightID,Genus,LocalName,Notes,Order,pk_SpeciesID,ScientificName,SpeciesCode
,,8,1,,,Guild info: added by RT on 12-mar-11 based on fishbase info,,1,Abudefduf viagiensis,AB.VAIG
,,6,2,,,,,2,Acanthurus achilles,AC.ACHI
,,6,3,,,,,3,Acanthurus achilles x nigricans,AC.ACNI
,,10,4,,,,,4,Acanthurus albipectoralis,AC.ALBI
,,4,5,,,,,5,Acanthurus blochii,AC.BLOC
,,4,6,,,,,6,Acanthurus dussumieri,AC.DUSS
,,6,7,,,,,7,Acanthurus guttatus,AC.GUTT
,,5,8,,,,,8,Acanthurus leucochilus,AC.LEUCOC
,,6,9,,,,,9,Acanthurus lineatus,AC.LINE
,,7,10,,,,,10,Acanthurus maculiceps,AC.MACU
,,7,11,,,,,11,Acanthurus nigricauda,AC.NIGC
,,6,12,,,,,12,Acanthurus nigrofuscus,AC.NIGF
,,6,13,,,,,13,Acanthurus nigroris,AC.NIGO
Whitecheek surgeonfish,Acanthuridae,6,14,Acanthurus,,"Order, family and english name from FishBase 2012",Perciformes,14,Acanthurus nigricans,AC.NIGR
,,4,15,,,,,15,Acanthurus olivaceus,AC.OLIV
,,6,16,,,,,16,Acanthurus pyroferus,AC.PYRO
,,10,17,,,,,17,Acanthurus thompsoni,AC.THOM
,,6,18,,,,,18,Acanthurus triostegus,AC.TRIO
Ring-tail surgeonfish,,4,19,,Mako,,,19,Acanthurus xanthopterus,AC.XANT
,,6,20,,,,,20,Acanthurus sp,ACAN.SP
Spotted eagle-ray,,2,21,,Atunnaomata,,,21,Aetobatos narinari,AE.NARI
,,8,22,,,,,22,Aluterus scripta,AL.SCRI
,,8,23,,,,,23,Amanses scopas,AM.SCOP
,,2,24,,,,,24,Anampses caeruleopunctatus,AN.CAER
,,2,25,,,,,25,Anampses melanurus,AN.MELA
,,2,26,,,,,26,Anampses meleagris,AN.MELE
,,2,27,,,,,27,Anampses twistii,AN.TWIS
,,9,28,,,,,28,Antennarius sp,ANTE.SP
Grey jobfish,,9,29,,Awaiuea,,,29,Aphareus furca,AP.FURC
,,2,30,,,,,30,Apogon kallopterus,AP.KALL
Green jobfish,Lutjanidae,1,31,Aprion,Awai,"Order, Family, and EnglishName from FishBase (2012)",Perciformes,31,Aprion virescens,AP.VIRE
,,8,32,,,,,32,Apolemichthys xanthopunctatus,AP.XANT
,,10,33,,,,,33,Apogonid sp,APOG.SP
,,2,34,,,,,34,Arothron hispidus,AR.HISP
,,2,35,,,,,35,Arothron meleagris,AR.MELE
,,2,36,,,,,36,Arothron stellatus,AR.STEL
,,10,37,,,,,37,Aspidontus dussumieri,AS.DUSS
,,10,38,,,,,38,Aspidontus taeniatus,AS.TAEN
,,1,39,,,,,39,Aulostomus chinensis,AU.CHIN
,,2,40,,,,,40,Balistapus undulatus,BA.UNDU
,,2,41,,,,,41,Balistoides viridescens,BA.VIRI
,,2,42,,,,,42,Bodianus axillaris,BO.AXIL
,,2,43,,,,,43,Bodianus bilunulatus,BO.BILU
,,2,44,,,,,44,Bodianus loxozonus,BO.LOXO
,,9,45,,,,,45,Bothus mancus,BO.MANC
,,2,46,,,,,46,Bolbometopon muricatum,BO.MURI
,,2,47,,,,,47,Bodianus prognathus,BO.PROG
,,1,48,,,,,48,Carcharhinus amblyrhynchos,CA.AMBL
,,2,49,,,,,49,Canthigaster amboinensis,CA.AMBO
,,6,50,,,,,50,Calotomus carolinus,CA.CARO
,,8,51,,,,,51,Cantherhines dumerilii,CA.DUME
,,1,52,,,,,52,Carangoides ferdau,CA.FERD
Great Trevally,,1,53,,Urua,,,53,Caranx ignobilis,CA.IGNO
,,2,54,,,,,54,Canthigaster janthinoptera,CA.JANT
Black trevally,,1,55,,Aonga,,,55,Caranx lugubris,CA.LUGU
,,2,56,,,,,56,Caracanthus maculatus,CA.MACU
Bluefin trevally,Carangidae,1,57,Caranx,Rereba,"Order, Family, and EnglishName from FishBase (2012)",Perciformes,57,Caranx melampygus,CA.MELA
,,1,58,,,,,58,Carcharhinus melanopterus,CA.MELAN
Island trevally,Carangidae,1,59,Carangoides,,"Order, Family, and EnglishName from Fishbase (2012)",Perciformes,59,Carangoides orthogrammus,CA.ORTH
,,8,60,,,,,60,Cantherhines pardalis,CA.PARD
Dusky Jack,,1,62,,Barebu,,,61,Caranx sexfasciatus,CA.SEXF
,,2,63,,,,,62,Canthigaster solandri,CA.SOLA
,,8,61,,,"Guild info: added by RT on 12-mar-11 based on fishbase description "" Feeds mainly on algae and detritus, but also takes tunicates, corals, sponges and other benthic animals""",,63,Cantherhines sandwichiensis,CA.SAND
,,10,65,,,,,64,Caesio sp.,CAES.SP
Yellow and blueback fusilier,Caesionidae,10,64,,,"Order, Family and English name from FishBase (2012)",Perciformes,65,Caesio teres,CA.TERE
Peacock hind/rock-cod,Serranidae,1,66,Cephalopholis,Nimanang,"Order, Family, EnglishName from FishBase (2012)",Perciformes,66,Cephalopholis argus,CE.ARGU
,,6,67,,,,,67,Cetoscarus bicolor,CE.BICO
,,6,68,,,,,68,Centropyge flavissima,CE.FLAV
,,9,69,,,,,69,Cephalopholis leopardus,CE.LEOP
,,6,70,,,,,70,Centropyge loricula,CE.LORI
,,1,71,,,,,71,Cephalopholis miniata,CE.MINI
Darkfin hind,Serranidae,9,72,Cephalopholis,Nimako,"Order, Family, and EnglishName from FishBase (2012)",Perciformes,72,Cephalopholis urodeta,CE.UROD
,,10,74,,,,,73,Chromis acares,CH.ACAR
,,10,75,,,,,74,Chromis agilis,CH.AGIL
Threadfin butterflyfish,Chaetodontidae,2,76,Chaetodon,,"Order, Family, and EnglishName from FishBase (2012)",Perciformes,75,Chaetodon auriga,CH.AURI
,,2,77,,,,,76,Chaetodon bennetti,CH.BENN
Milkfish,,10,78,,Awatai,,,77,Chanos chanos,CH.CHAN
,,2,79,,,,,78,Cheilinus chlorourus,CH.CHLO
,,2,80,,,"Guild info: added by RT on 12-mar-11 based on FB description: ""Feed on small worms, small benthic invertebrates, coral polyps, and filamentous algae""",,79,Chaetodon citrinellus,CH.CITR
,,2,81,,,,,80,Chaetodon ephippium,CH.EPHI
,,2,82,,,,,81,Cheilinus fasciatus,CH.FASC
,,6,84,,,,,82,Chlorurus frontalis,CH.FRON
,,10,85,,,,,83,Chaetodon kleinii,CH.KLEI
,,10,86,,,,,84,Chromis lepidolepis,CH.LEPI
,,2,87,,,,,85,Chaetodon lineolatus,CH.LINE
,,2,88,,,,,86,Chaetodon lunula,CH.LUNU
,,2,89,,,,,87,Chaetodon lunulatus,CH.LUNUT
,,10,90,,,,,88,Chromis margaritifer,CH.MARG
,,2,92,,,,,89,Chaetodon meyeri,CH.MEYE
,,6,93,,,,,90,Chlorurus microrhinos,CH.MICR
Ornate butterflyfish,Chaetodontidae,13,94,Chaetodon,,"Order, Family, and EnglishName from FishBase (2012)",Perciformes,91,Chaetodon ornatissimus,CH.ORNA
,,2,95,,,,,92,Cheilinus oxycephalus,CH.OXYC
,,2,96,,,,,93,Chaetodon pelewensis,CH.PELE
,,2,97,,,,,94,Chaetodon quadrimaculatus,CH.QUAD
,,2,98,,,,,95,Chaetodon reticulatus ,CH.RETI
Daisy parrotfish,Scaridae,6,99,Chlorurus,,"Order, family, and english name from FishBase (2012)",Perciformes,96,Chlorurus sordidus,CH.SORD
,,2,100,,,,,97,Chaetodon trifascialis,CH.TRIF
,,2,101,,,,,98,Cheilinus trilobatus,CH.TRIL
,,2,102,,,,,99,Chaetodon ulietensis,CH.ULIE
,,2,103,,,,,100,Cheilinus undulatus,CH.UNDU
,,2,104,,,,,101,Chaetodon unimaculatus,CH.UNIM
,,2,105,,,,,102,Chaetodon vaigiensis,CH.VAIG
